temp,t_H2SO4,Na,Cl
298.15,0,1,
298.15,0.0002,1,
298.15,0.0005,1,
298.15,0.001,1,
298.15,0.002,1,
298.15,0.005,1,
298.15,0.01,1,
298.15,0.02,1,
298.15,0.05,1,
298.15,0.1,1,
298.15,0.2,1,
298.15,0.3,1,
298.15,0.4,1,
298.15,0.5,1,
298.15,0.6,1,
298.15,0.7,1,
298.15,0.8,1,
298.15,0.9,1,
298.15,1,1,
298.15,1.2,1,
298.15,1.4,1,
298.15,1.6,1,
298.15,1.8,1,
298.15,2,1,
298.15,2.2,1,
298.15,2.4,1,
298.15,2.6,1,
298.15,2.8,1,
298.15,3,1,
298.15,3.2,1,
298.15,3.4,1,
298.15,3.6,1,
298.15,3.8,1,
298.15,4,1,
298.15,4.2,1,
298.15,4.4,1,
298.15,4.6,1,
298.15,4.8,1,
298.15,5,1,
298.15,5.2,1,
298.15,5.4,1,
298.15,5.6,1,
298.15,5.8,1,
298.15,6,1,
